positive,negative,neutral,sent_score,sent_class
0.9381542,0.022542557,0.03930323,0.9156117,positive
0.3019712,0.019128172,0.6789006,0.28284302,neutral
0.08087675,0.8321217,0.08700154,-0.7512449,negative
0.115626656,0.014625512,0.8697478,0.10100114,neutral
0.9469198,0.027314652,0.025765626,0.91960514,positive
0.7738345,0.022385782,0.2037797,0.75144875,positive
0.27398705,0.014525034,0.71148795,0.25946203,neutral
0.8482847,0.030465787,0.12124947,0.81781894,positive
0.15146157,0.010875135,0.8376633,0.14058644,neutral
0.115826264,0.013527296,0.8706465,0.10229897,neutral
0.16657636,0.017042119,0.8163816,0.14953424,neutral
0.71718425,0.14091185,0.14190389,0.57627237,positive
0.24067812,0.2597738,0.49954802,-0.019095674,neutral
0.017363979,0.9016367,0.08099937,-0.88427275,negative
0.036573056,0.025497828,0.9379291,0.011075228,neutral
0.034975737,0.47305125,0.491973,-0.4380755,neutral
0.024213314,0.8338371,0.14194955,-0.8096238,negative
0.1361765,0.4116103,0.45221323,-0.2754338,neutral
0.036231264,0.026057212,0.93771154,0.010174053,neutral
0.94566494,0.017633215,0.036701888,0.92803174,positive
0.0077483063,0.96189517,0.030356508,-0.95414686,negative
0.044184566,0.08260054,0.8732149,-0.038415976,neutral
0.07346662,0.015983183,0.91055024,0.05748344,neutral
0.023405949,0.91957825,0.057015773,-0.8961723,negative
0.091033235,0.8154496,0.093517214,-0.7244164,negative
0.8995658,0.0076259943,0.092808075,0.8919398,positive
0.25355327,0.038015574,0.7084311,0.2155377,neutral
0.016754588,0.8470249,0.13622043,-0.83027035,negative
0.008306623,0.9725042,0.019189244,-0.9641976,negative
0.042099085,0.019379163,0.93852174,0.022719922,neutral
0.019620935,0.64936924,0.33100975,-0.6297483,negative
0.038336083,0.12765956,0.8340044,-0.089323476,neutral
0.01639538,0.7820547,0.20154995,-0.76565933,negative
0.030447487,0.03514494,0.93440753,-0.004697453,neutral
0.10015857,0.5990246,0.30081686,-0.49886602,negative
0.054153364,0.16521484,0.7806318,-0.11106147,neutral
0.044198547,0.016586345,0.93921506,0.027612202,neutral
0.012187753,0.952117,0.03569521,-0.93992925,negative
0.054719765,0.18362609,0.7616542,-0.12890632,neutral
0.010929263,0.9647203,0.024350414,-0.953791,negative
0.8054873,0.061951786,0.13256094,0.7435355,positive
0.14130513,0.108281024,0.7504139,0.03302411,neutral
0.018744277,0.91724026,0.06401542,-0.898496,negative
0.017806768,0.7882139,0.1939794,-0.77040714,negative
0.056759704,0.039026637,0.90421367,0.017733067,neutral
0.9349764,0.011555562,0.05346815,0.92342085,positive
0.018060656,0.7635758,0.21836346,-0.7455151,negative
0.94939333,0.021100571,0.029505972,0.92829275,positive
0.04686407,0.05015953,0.9029764,-0.0032954589,neutral
0.9160866,0.035626803,0.04828654,0.8804598,positive
0.02930229,0.031184467,0.9395132,-0.0018821768,neutral
0.03511,0.03329663,0.93159336,0.0018133707,neutral
0.059398472,0.018520182,0.9220813,0.04087829,neutral
0.044017922,0.36367455,0.59230757,-0.31965664,neutral
0.2631316,0.041928712,0.6949397,0.22120288,neutral
0.031587355,0.61074483,0.35766777,-0.5791575,negative
0.017329387,0.91822785,0.064442806,-0.90089846,negative
0.04436095,0.038205065,0.917434,0.0061558858,neutral
0.061822336,0.5519142,0.3862634,-0.4900919,negative
0.06887231,0.011646378,0.9194813,0.05722593,neutral
0.26814112,0.027981453,0.70387745,0.24015966,neutral
0.45179304,0.007911573,0.5402953,0.44388148,neutral
0.033771787,0.015714195,0.95051396,0.018057592,neutral
0.02760302,0.059212767,0.9131842,-0.031609744,neutral
0.036561776,0.019348536,0.9440897,0.01721324,neutral
0.27210006,0.008335833,0.71956414,0.26376423,neutral
0.049110487,0.051937997,0.8989515,-0.0028275102,neutral
0.014168916,0.29749614,0.68833494,-0.28332722,neutral
0.013704543,0.6941433,0.2921521,-0.68043876,negative
0.013305128,0.934976,0.05171887,-0.92167085,negative
0.9481955,0.020190986,0.031613495,0.9280045,positive
0.3955322,0.28530344,0.31916437,0.11022875,positive
0.945294,0.013877639,0.040828366,0.9314164,positive
0.07228821,0.6423345,0.2853773,-0.5700463,negative
0.19212471,0.0074042687,0.800471,0.18472044,neutral
0.08661645,0.011750686,0.90163285,0.074865766,neutral
0.05782052,0.61078143,0.3313981,-0.55296093,negative
0.08732393,0.014905712,0.89777035,0.07241821,neutral
0.68608606,0.167508,0.14640598,0.51857805,positive
0.08865915,0.018298764,0.8930421,0.07036039,neutral
0.76121855,0.007972482,0.23080891,0.75324607,positive
0.091207586,0.017121404,0.891671,0.07408618,neutral
0.7306045,0.016786324,0.2526092,0.7138182,positive
0.26191595,0.008687023,0.72939706,0.25322893,neutral
0.015912523,0.90770566,0.07638192,-0.89179313,negative
0.7401159,0.014572217,0.24531193,0.7255437,positive
0.03415419,0.028939394,0.93690634,0.0052147973,neutral
0.074583784,0.2667846,0.6586316,-0.19220082,neutral
0.9372649,0.011941644,0.050793424,0.92532325,positive
0.02248106,0.053824313,0.92369455,-0.03134325,neutral
0.8945964,0.011320335,0.094083376,0.88327605,positive
0.18601897,0.013517545,0.8004635,0.17250143,neutral
0.09806514,0.78099877,0.12093606,-0.6829336,negative
0.026503088,0.9440706,0.029426407,-0.9175675,negative
0.20706472,0.013176308,0.779759,0.19388841,neutral
0.057647917,0.052865848,0.88948625,0.0047820695,neutral
0.029841725,0.7904349,0.17972337,-0.7605932,negative
0.020559851,0.9530901,0.026350051,-0.9325302,negative
0.9425877,0.0126769,0.044735383,0.9299108,positive
0.39127928,0.4481082,0.16061248,-0.056828916,negative
0.028934577,0.89264214,0.07842322,-0.86370754,negative
0.08202104,0.009870489,0.9081084,0.07215055,neutral
0.12292765,0.4326501,0.44442227,-0.30972242,neutral
0.0133724045,0.93403506,0.05259261,-0.92066264,negative
0.015441483,0.97095025,0.013608288,-0.95550877,negative
0.0990617,0.013638896,0.88729936,0.0854228,neutral
0.07939111,0.017865228,0.90274364,0.06152588,neutral
0.1664075,0.011425973,0.82216656,0.15498152,neutral
0.027611572,0.4471781,0.5252103,-0.4195665,neutral
0.24172896,0.00951551,0.7487556,0.23221345,neutral
0.026839353,0.06448619,0.9086744,-0.037646838,neutral
0.65486455,0.009901124,0.3352343,0.64496344,positive
0.14429894,0.7199908,0.13571022,-0.5756918,negative
0.1753926,0.010966438,0.813641,0.16442616,neutral
0.9480248,0.02858244,0.023392715,0.91944236,positive
0.019198366,0.9386099,0.04219177,-0.91941154,negative
0.021135047,0.60998946,0.36887556,-0.58885443,negative
0.028157108,0.8230496,0.14879332,-0.7948925,negative
0.013825299,0.89885634,0.0873184,-0.88503104,negative
0.07089708,0.7240649,0.20503801,-0.6531678,negative
0.23055738,0.009319304,0.7601234,0.22123808,neutral
0.05135173,0.028990861,0.9196574,0.022360869,neutral
0.026636578,0.021561325,0.95180213,0.0050752535,neutral
0.76126623,0.006557285,0.23217645,0.75470895,positive
0.8618866,0.012680964,0.12543239,0.8492057,positive
0.5456066,0.2542566,0.20013681,0.29135,positive
0.07500937,0.012355038,0.9126356,0.06265433,neutral
0.5680207,0.26493698,0.16704233,0.30308372,positive
0.027379503,0.031458672,0.9411618,-0.0040791687,neutral
0.8556357,0.0073830634,0.1369813,0.84825265,positive
0.011736306,0.8800061,0.10825753,-0.86826974,negative
0.023596825,0.097912654,0.87849045,-0.07431583,neutral
0.25546202,0.013396702,0.7311413,0.24206533,neutral
0.15011598,0.01781766,0.8320663,0.13229832,neutral
0.05232151,0.023913726,0.92376477,0.028407782,neutral
0.03634066,0.032248687,0.9314106,0.0040919743,neutral
0.026652295,0.80206925,0.17127843,-0.775417,negative
0.09227345,0.030785691,0.8769408,0.06148776,neutral
0.079118535,0.018269498,0.90261203,0.060849037,neutral
0.069635436,0.031866506,0.89849806,0.03776893,neutral
0.019376744,0.8800193,0.10060394,-0.86064255,negative
0.015626788,0.96159106,0.022782108,-0.9459643,negative
0.2979242,0.094614714,0.6074611,0.20330948,neutral
0.21794766,0.038303442,0.74374884,0.17964423,neutral
0.06687227,0.040382385,0.8927453,0.026489884,neutral
0.019953484,0.4676754,0.51237106,-0.4477219,neutral
0.13784647,0.008784144,0.8533695,0.12906232,neutral
0.07069569,0.14867827,0.7806261,-0.07798258,neutral
0.8992144,0.020757401,0.08002821,0.878457,positive
0.029757418,0.63782024,0.3324224,-0.6080628,negative
0.17727363,0.008300267,0.81442606,0.16897336,neutral
0.039682396,0.015810525,0.944507,0.02387187,neutral
0.941076,0.012428897,0.04649517,0.9286471,positive
0.040387757,0.047207963,0.91240436,-0.0068202056,neutral
0.01993799,0.067406796,0.9126552,-0.047468804,neutral
0.35356984,0.016212445,0.63021773,0.3373574,neutral
0.042014636,0.21748456,0.7405008,-0.17546993,neutral
0.020681119,0.06577858,0.91354036,-0.045097463,neutral
0.10570472,0.011795421,0.8824999,0.09390929,neutral
0.0075204894,0.9647797,0.027699832,-0.9572592,negative
0.06231771,0.3733066,0.5643757,-0.3109889,neutral
0.12160431,0.0076173395,0.8707783,0.11398697,neutral
0.3645321,0.016959978,0.6185079,0.34757215,neutral
0.10893046,0.8397375,0.05133211,-0.730807,negative
0.37389085,0.0076443297,0.6184648,0.36624652,neutral
0.92401385,0.043675605,0.032310467,0.88033825,positive
0.94966966,0.02202544,0.028304808,0.9276442,positive
0.035108704,0.014405259,0.95048606,0.020703446,neutral
0.25551417,0.016433509,0.72805226,0.23908067,neutral
0.016972296,0.32653576,0.65649194,-0.30956346,neutral
0.08279672,0.9006732,0.016530076,-0.81787646,negative
0.20783117,0.00812632,0.78404254,0.19970486,neutral
0.067398116,0.026674818,0.905927,0.040723298,neutral
0.049669288,0.01830298,0.9320278,0.031366307,neutral
0.011498185,0.94251853,0.045983303,-0.9310203,negative
0.024074314,0.9194429,0.056482755,-0.8953686,negative
0.14815706,0.009833484,0.8420094,0.13832358,neutral
0.94148374,0.015534659,0.042981572,0.9259491,positive
0.03871377,0.1529346,0.8083516,-0.11422083,neutral
0.2861978,0.019398108,0.69440407,0.2667997,neutral
0.929035,0.016229535,0.054735467,0.9128055,positive
0.5216188,0.014532993,0.46384814,0.5070858,positive
0.9186896,0.05164822,0.029662225,0.8670414,positive
0.6821306,0.040519435,0.27734998,0.64161116,positive
0.50841606,0.009915456,0.4816685,0.4985006,positive
0.17071784,0.010332869,0.8189493,0.16038497,neutral
0.73824847,0.024135353,0.23761626,0.7141131,positive
0.07001116,0.010193131,0.91979575,0.05981803,neutral
0.10856058,0.012887886,0.87855154,0.09567269,neutral
0.90397793,0.024776436,0.071245655,0.8792015,positive
0.16521178,0.16386153,0.6709267,0.0013502538,neutral
0.06361998,0.025476005,0.910904,0.038143974,neutral
0.051463924,0.029546699,0.9189894,0.021917226,neutral
0.035928436,0.7364407,0.2276308,-0.7005123,negative
0.14526623,0.007313214,0.8474206,0.13795303,neutral
0.059113655,0.34738475,0.59350157,-0.2882711,neutral
0.053821534,0.071167134,0.8750114,-0.0173456,neutral
0.59889334,0.008773559,0.39233312,0.5901198,positive
0.086767495,0.1322133,0.7810192,-0.0454458,neutral
0.04278494,0.017647892,0.9395672,0.025137048,neutral
0.7134121,0.007334008,0.27925393,0.7060781,positive
0.9078388,0.008132112,0.084029056,0.8997067,positive
0.03467916,0.015611259,0.9497096,0.0190679,neutral
0.01930292,0.8721833,0.10851376,-0.8528804,negative
0.019551134,0.56067985,0.419769,-0.5411287,negative
0.75263524,0.20890427,0.038460493,0.543731,positive
0.058654107,0.024118433,0.91722745,0.034535676,neutral
0.007088411,0.9640303,0.028881289,-0.9569419,negative
0.46832824,0.011321341,0.5203504,0.4570069,neutral
0.31616384,0.0078566875,0.6759795,0.30830714,neutral
0.034929775,0.049010456,0.91605973,-0.014080681,neutral
0.18428817,0.014936963,0.8007748,0.1693512,neutral
0.810367,0.009095039,0.18053804,0.801272,positive
0.027804334,0.06072834,0.9114674,-0.032924008,neutral
0.030077472,0.020613771,0.9493088,0.009463701,neutral
0.09579432,0.009260571,0.89494514,0.08653375,neutral
0.18266279,0.006822361,0.8105148,0.17584042,neutral
0.34722242,0.49586812,0.15690948,-0.1486457,negative
0.94450396,0.029342597,0.026153533,0.9151614,positive
0.59861666,0.30155534,0.099828005,0.29706132,positive
0.023643501,0.7096173,0.26673916,-0.6859738,negative
0.045722596,0.0166193,0.9376581,0.029103296,neutral
0.1313364,0.6007678,0.26789588,-0.4694314,negative
0.21250784,0.0073236935,0.7801684,0.20518415,neutral
0.05734042,0.015452226,0.92720735,0.041888196,neutral
0.042464156,0.013856414,0.94367945,0.028607741,neutral
0.033936426,0.21750449,0.7485591,-0.18356806,neutral
0.043830995,0.93579626,0.020372713,-0.89196527,negative
0.09346314,0.04839687,0.85814005,0.045066267,neutral
0.024183365,0.1918006,0.7840161,-0.16761723,neutral
0.308154,0.007218294,0.6846277,0.3009357,neutral
0.0376715,0.8667618,0.09556672,-0.8290903,negative
0.109746195,0.052144203,0.8381096,0.057601992,neutral
0.4982485,0.008642367,0.4931091,0.4896061,positive
0.093513034,0.035633974,0.870853,0.05787906,neutral
0.016438618,0.8926578,0.09090357,-0.8762192,negative
0.014086907,0.9740683,0.011844832,-0.9599814,negative
0.24087957,0.00769809,0.7514223,0.23318148,neutral
0.6379071,0.31722108,0.044871796,0.320686,positive
0.9060697,0.007927609,0.086002685,0.8981421,positive
0.10594186,0.010056704,0.88400143,0.09588516,neutral
0.11363083,0.016006771,0.87036234,0.09762406,neutral
0.18037055,0.013789807,0.80583966,0.16658075,neutral
0.116338104,0.010285919,0.873376,0.10605218,neutral
0.07811487,0.29403582,0.62784934,-0.21592095,neutral
0.91311884,0.025567077,0.061314058,0.8875518,positive
0.87577075,0.0091133425,0.115115836,0.8666574,positive
0.017851332,0.55554336,0.42660534,-0.537692,negative
0.5935659,0.013038215,0.393396,0.58052766,positive
0.028053606,0.09810958,0.8738368,-0.07005598,neutral
0.042378154,0.45075998,0.50686187,-0.40838182,neutral
0.041195583,0.78324187,0.17556255,-0.7420463,negative
0.12527882,0.017740738,0.85698044,0.107538074,neutral
0.013307784,0.9495555,0.037136752,-0.9362477,negative
0.28896508,0.026399454,0.68463546,0.2625656,neutral
0.7106079,0.0074091535,0.28198293,0.70319873,positive
0.19404267,0.0329735,0.77298385,0.16106917,neutral
0.013714124,0.78915656,0.19712926,-0.7754424,negative
0.8752279,0.008086079,0.11668603,0.86714184,positive
0.0457161,0.05070874,0.9035751,-0.0049926415,neutral
0.8402011,0.011673639,0.14812529,0.82852745,positive
0.0181891,0.86006916,0.12174176,-0.8418801,negative
0.19238578,0.044280026,0.7633342,0.14810576,neutral
0.03181813,0.01469084,0.95349103,0.01712729,neutral
0.06847613,0.01388861,0.9176353,0.054587524,neutral
0.94989586,0.018385021,0.03171909,0.93151087,positive
0.06572496,0.06638464,0.8678904,-0.00065968186,neutral
0.04299439,0.15084887,0.8061568,-0.10785447,neutral
0.020535588,0.53423256,0.4452319,-0.51369697,negative
0.029210394,0.12578608,0.84500355,-0.096575685,neutral
0.021580927,0.11595421,0.86246485,-0.094373286,neutral
0.03090162,0.5432962,0.42580217,-0.5123946,negative
0.13292941,0.010970641,0.8560999,0.12195878,neutral
0.100999676,0.008935442,0.8900649,0.09206423,neutral
0.025234282,0.5768483,0.39791742,-0.55161405,negative
0.04005792,0.15761703,0.802325,-0.11755911,neutral
0.2521484,0.007867369,0.7399843,0.24428102,neutral
0.033151057,0.7426013,0.22424762,-0.70945024,negative
0.6612869,0.007106141,0.33160704,0.65418077,positive
0.9453131,0.021687074,0.032999795,0.923626,positive
0.051384747,0.020773398,0.92784184,0.03061135,neutral
0.037056584,0.027917612,0.93502575,0.009138972,neutral
0.760473,0.00757233,0.23195468,0.75290066,positive
0.46734306,0.009650878,0.523006,0.45769218,neutral
0.018922647,0.86023235,0.12084504,-0.8413097,negative
0.09789651,0.00890966,0.8931938,0.08898685,neutral
0.17238125,0.012592673,0.8150261,0.15978858,neutral
0.02959115,0.045921683,0.9244872,-0.016330533,neutral
0.05718875,0.031382944,0.91142833,0.025805805,neutral
0.025308622,0.055166595,0.91952485,-0.029857973,neutral
0.045117732,0.14760426,0.807278,-0.10248652,neutral
0.1323667,0.011352684,0.8562806,0.121014014,neutral
0.9278127,0.031049391,0.04113786,0.8967633,positive
0.80937433,0.008590155,0.18203552,0.8007842,positive
0.87722814,0.007788786,0.11498309,0.86943936,positive
0.007833862,0.97147703,0.020689093,-0.9636432,negative
0.0925198,0.009195961,0.89828426,0.08332384,neutral
0.35161325,0.0073590823,0.6410277,0.34425417,neutral
0.06625007,0.013996386,0.9197535,0.052253686,neutral
0.06275374,0.09128904,0.8459572,-0.028535306,neutral
0.90182614,0.026145093,0.07202889,0.87568104,positive
0.12525696,0.00924312,0.8654999,0.11601383,neutral
0.11336275,0.00964678,0.87699044,0.10371597,neutral
0.7358252,0.007865762,0.25630906,0.7279594,positive
0.02271656,0.93578583,0.04149758,-0.91306925,negative
0.9475528,0.011834479,0.040612753,0.9357183,positive
0.48268992,0.40640166,0.110908404,0.07628825,positive
0.8817498,0.03876779,0.07948238,0.842982,positive
0.86658514,0.007333621,0.12608126,0.8592515,positive
0.051712383,0.022636825,0.9256507,0.029075557,neutral
0.052257404,0.013545557,0.934197,0.038711846,neutral
0.794023,0.01967415,0.1863029,0.77434886,positive
0.015284838,0.834026,0.15068924,-0.81874114,negative
0.008788306,0.97144556,0.01976612,-0.9626573,negative
0.20759778,0.023571352,0.76883084,0.18402642,neutral
0.94200414,0.01928084,0.03871503,0.9227233,positive
0.04733868,0.16129582,0.7913655,-0.11395714,neutral
0.74695075,0.011156328,0.24189286,0.7357944,positive
0.04619564,0.6740898,0.27971452,-0.62789416,negative
0.1828893,0.19775416,0.6193565,-0.014864862,neutral
0.8887699,0.058785114,0.052444927,0.8299848,positive
0.6043989,0.010991035,0.3846101,0.59340787,positive
0.09678509,0.57041293,0.33280197,-0.47362784,negative
0.021847006,0.09096472,0.88718826,-0.06911771,neutral
0.08127758,0.029020915,0.88970155,0.052256666,neutral
0.023112107,0.8505434,0.12634447,-0.82743126,negative
0.080137245,0.009833923,0.9100289,0.07030332,neutral
0.0892189,0.010237539,0.9005435,0.07898136,neutral
0.9236604,0.028738067,0.04760154,0.8949223,positive
0.49888715,0.43182725,0.06928562,0.067059904,positive
0.05681049,0.036552664,0.9066368,0.020257827,neutral
0.025903672,0.88833636,0.08575993,-0.8624327,negative
0.48606378,0.011526622,0.50240964,0.47453716,neutral
0.013989631,0.87523925,0.110771105,-0.8612496,negative
0.8377535,0.035139546,0.127107,0.8026139,positive
0.08718129,0.014735432,0.89808327,0.07244586,neutral
0.032779835,0.017110296,0.95010984,0.01566954,neutral
0.19205324,0.14095756,0.66698915,0.05109568,neutral
0.017453395,0.959003,0.02354363,-0.9415496,negative
0.066260815,0.62108266,0.31265652,-0.55482185,negative
0.6994597,0.007990442,0.29254988,0.69146925,positive
0.24057968,0.009714646,0.7497057,0.23086503,neutral
0.06344861,0.011056502,0.9254949,0.052392107,neutral
0.743371,0.008603892,0.24802513,0.73476714,positive
0.043184683,0.018392066,0.9384233,0.024792617,neutral
0.1413585,0.008130921,0.8505106,0.13322757,neutral
0.020460168,0.22404651,0.75549334,-0.20358634,neutral
0.29184434,0.0063756974,0.70178,0.28546864,neutral
0.90868515,0.055091757,0.036223136,0.8535934,positive
0.012265774,0.9212391,0.06649504,-0.9089733,negative
0.05765477,0.20697336,0.7353719,-0.14931859,neutral
0.021931464,0.9208965,0.057172045,-0.898965,negative
0.07648171,0.026540786,0.8969775,0.04994092,neutral
0.10125787,0.6543201,0.24442202,-0.55306226,negative
0.616482,0.020959347,0.36255866,0.59552264,positive
0.31937742,0.007635277,0.6729873,0.31174216,neutral
0.05821724,0.013426312,0.9283564,0.044790927,neutral
0.12539877,0.0095201535,0.8650811,0.11587862,neutral
0.0772868,0.046692092,0.8760211,0.03059471,neutral
0.91789263,0.037444066,0.044663303,0.8804486,positive
0.031516343,0.03823751,0.9302461,-0.006721165,neutral
0.046649814,0.5594359,0.39391425,-0.5127861,negative
0.08381801,0.011065509,0.9051165,0.072752506,neutral
0.0074144886,0.94996685,0.042618684,-0.9425524,negative
0.03232074,0.33667535,0.6310039,-0.3043546,neutral
0.035928924,0.5052261,0.45884496,-0.46929714,negative
0.7705496,0.036685355,0.19276503,0.73386425,positive
0.028689867,0.027380938,0.9439292,0.0013089292,neutral
0.017393727,0.20279017,0.7798161,-0.18539645,neutral
0.04630224,0.06845245,0.8852454,-0.022150207,neutral
0.10587005,0.29207715,0.6020528,-0.1862071,neutral
0.0144220805,0.9241141,0.061463736,-0.90969205,negative
0.15996617,0.013074321,0.82695955,0.14689185,neutral
0.062518425,0.011543411,0.9259381,0.050975014,neutral
0.21525136,0.0075034513,0.77724516,0.2077479,neutral
0.035707347,0.026557328,0.9377353,0.009150019,neutral
0.019329116,0.12959895,0.8510719,-0.11026983,neutral
0.015898068,0.94436103,0.039740935,-0.928463,negative
0.017331066,0.50140923,0.48125967,-0.48407817,negative
0.015656877,0.8655971,0.11874602,-0.84994024,negative
0.85041916,0.0062756827,0.14330514,0.8441435,positive
0.1288599,0.053525876,0.8176142,0.07533403,neutral
0.068249665,0.09626954,0.83548075,-0.028019875,neutral
0.4080773,0.020819424,0.5711033,0.38725787,neutral
0.6513765,0.087269455,0.2613541,0.56410706,positive
0.7733164,0.02204415,0.20463951,0.75127226,positive
0.018811233,0.05030702,0.93088174,-0.031495787,neutral
0.035488565,0.90700704,0.05750434,-0.8715185,negative
0.010550725,0.9697304,0.019718852,-0.95917964,negative
0.1275356,0.047359943,0.8251045,0.08017565,neutral
0.1442088,0.0075673237,0.8482238,0.13664147,neutral
0.6568186,0.024818363,0.318363,0.63200027,positive
0.18341602,0.009040147,0.8075439,0.17437588,neutral
0.03615189,0.06718348,0.8966646,-0.03103159,neutral
0.011161409,0.969494,0.019344507,-0.9583326,negative
0.14099054,0.12963551,0.7293739,0.011355028,neutral
0.09144323,0.010210072,0.8983467,0.08123316,neutral
0.24391718,0.008941573,0.7471413,0.2349756,neutral
0.098401755,0.009726586,0.8918717,0.08867517,neutral
0.93731505,0.03324167,0.029443325,0.90407336,positive
0.0866105,0.013220259,0.90016925,0.073390245,neutral
0.037916817,0.020458557,0.94162464,0.01745826,neutral
0.03464214,0.11505074,0.8503071,-0.0804086,neutral
0.939019,0.0320699,0.02891117,0.9069491,positive
0.112798594,0.008296557,0.8789048,0.10450204,neutral
0.120327264,0.7300339,0.14963888,-0.60970664,negative
0.04493321,0.020588227,0.9344785,0.024344984,neutral
0.47862098,0.011213822,0.51016515,0.46740717,neutral
0.7139911,0.2503424,0.035666496,0.4636487,positive
0.5556889,0.02408563,0.42022535,0.5316033,positive
0.09518329,0.08214712,0.82266957,0.013036169,neutral
0.5694065,0.009758631,0.4208349,0.55964786,positive
0.25877053,0.63804483,0.103184596,-0.3792743,negative
0.029532189,0.042247545,0.9282203,-0.012715356,neutral
0.85100144,0.026528113,0.12247037,0.8244733,positive
0.055397835,0.026705224,0.917897,0.02869261,neutral
0.047528677,0.037430953,0.9150404,0.010097723,neutral
0.037965704,0.019108761,0.9429256,0.018856943,neutral
0.081731096,0.0151692405,0.90309966,0.066561855,neutral
0.0745936,0.011885824,0.9135206,0.06270778,neutral
0.9227764,0.047383104,0.029840413,0.8753933,positive
0.118837625,0.019964088,0.8611983,0.09887354,neutral
0.01880853,0.054377075,0.9268144,-0.035568543,neutral
0.05245482,0.017649237,0.92989594,0.034805585,neutral
0.14103545,0.008139721,0.85082483,0.13289574,neutral
0.03824714,0.06946129,0.8922916,-0.031214155,neutral
0.011504765,0.96617204,0.022323199,-0.95466727,negative
0.8223599,0.009187281,0.16845283,0.81317264,positive
0.022941666,0.8001548,0.17690355,-0.77721316,negative
0.10247747,0.00828681,0.88923573,0.09419066,neutral
0.81753796,0.017523652,0.16493843,0.8000143,positive
0.2607374,0.013061499,0.72620106,0.2476759,neutral
0.2056588,0.008529739,0.7858115,0.19712906,neutral
0.041113593,0.01403153,0.9448549,0.027082063,neutral
0.11317681,0.017326092,0.8694971,0.09585071,neutral
